id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salário janeiro,salario
2,2026-01-12,CLI002,debito,180.50,Supermercado,compra
3,2026-01-20,CLI001,debito,45.00,Farmácia,compra
4,2026-01-25,CLI003,credito,2800.00,Salário janeiro,salario
5,2026-01-28,CLI002,debito,320.00,Conta de luz,conta
6,2026-02-03,CLI001,debito,200.00,Transferência,transferencia
7,2026-02-14,CLI003,credito,15000.00,Transferência suspeita,transferencia
8,2026-02-18,CLI002,debito,320.00,Conta de luz,conta
9,2026-02-22,CLI001,credito,3500.00,Salário fevereiro,salario
10,2026-02-27,CLI003,debito,99.90,Streaming,assinatura
11,2026-03-01,CLI001,credito,3500.00,Salário março,salario
12,2026-03-10,CLI003,debito,99.90,Streaming,assinatura
13,2026-03-15,CLI002,credito,12000.00,Venda de bem,transferencia
14,2026-03-20,CLI001,debito,150.75,Restaurante,compra
15,2026-03-25,CLI002,debito,500.00,Aluguel,conta
16,2026-04-02,CLI003,credito,3200.00,Salário abril,salario
17,2026-04-10,CLI001,debito,75.30,Farmácia,compra
18,2026-04-18,CLI002,debito,220.00,Internet,conta
19,2026-01-30,CLI002,debito,abc,Erro de sistema,compra
20,2026-02-05,,debito,200.00,Sem cliente,transferencia
21,2026-03-40,CLI001,credito,100.00,Data inválida,salario
22,2026-04-08,CLI003,transferencia,50.00,Tipo inválido,compra
23,2026-04-15,CLI001,debito,-30.00,Valor negativo,compra
,2026-04-20,CLI002,credito,100.00,ID vazio,salario
